program,branch_code,semester,course_name,course_type,course_code_hint
CSE,CSE,1,Introduction to Programming,Core,IP
CSE,CSE,1,Digital Circuits,Core,DC
CSE,CSE,1,Maths I (Linear Algebra),Core,LA
CSE,CSE,1,Introduction to HCI,Core,HCI
CSE,CSE,1,Communication Skills,Core,Communication Skills
CSE,CSE,2,Data Structures and Algorithms,Core,DSA
CSE,CSE,2,Basic Electronics,Core,BE
CSE,CSE,2,Maths II (Probability & Statistics),Core,
CSE,CSE,2,Computer Organization,Core,CO
CSE,CSE,2,SSH,Elective,
CSE,CSE,3,Advanced Programming,Core,AP
CSE,CSE,3,Operating Systems,Core,OS
CSE,CSE,3,Discrete Structures / Discrete Mathematics,Core,DM
CSE,CSE,3,Maths III / Signals & Systems / Embedded Logic Design,Elective,M3
CSE,CSE,3,SSH,Elective,
CSE,CSE,4,Fundamentals of Database Management Systems,Core,DBMS
CSE,CSE,4,Algorithm Design and Analysis,Core,ADA
CSE,CSE,4,Practical Bioinformatics / Prototyping Interactive Systems / Theory of Computation,Elective,
CSE,CSE,4,Maths IV / Graph Theory,Elective,M4
CSE,CSE,5,Computer Networks,Core,CN
CSE,CSE,5,Technical Communication + Environmental Sciences,Core,EVS
ECE,ECE,1,Introduction to Programming,Core,IP
ECE,ECE,1,Digital Circuits,Core,DC
ECE,ECE,1,Introduction to HCI,Core,HCI
ECE,ECE,1,Maths I (Linear Algebra),Core,LA
ECE,ECE,1,Communication Skills,Core,Communication Skills
ECE,ECE,2,Data Structures and Algorithms,Core,DSA
ECE,ECE,2,Basic Electronics,Core,BE
ECE,ECE,2,Computer Organization,Core,CO
ECE,ECE,2,Maths II (Probability & Statistics),Core,
ECE,ECE,2,SSH,Elective,
ECE,ECE,3,Circuit Theory and Devices,Core,
ECE,ECE,3,Embedded Logic Design,Core,
ECE,ECE,3,Signals and Systems,Core,S&S
ECE,ECE,3,Maths III (Multivariate Calculus),Core,M3
ECE,ECE,3,SSH / Advanced Programming,Elective,
ECE,ECE,4,Fields & Waves,Core,
ECE,ECE,4,Integrated Electronics,Core,
ECE,ECE,4,Principles of Communication Systems,Core,
ECE,ECE,4,Maths IV (ODE/PDE),Core,M4
ECE,ECE,5,Digital Communication Systems,Core Elective,
ECE,ECE,5,Digital Signal Processing,Core Elective,DSP
ECE,ECE,5,Technical Communication + Environmental Sciences,Core,EVS
CSAM,CSAM,1,Introduction to Programming,Core,IP
CSAM,CSAM,1,Digital Circuits,Core,DC
CSAM,CSAM,1,Maths I (Linear Algebra),Core,LA
CSAM,CSAM,1,Introduction to HCI,Core,HCI
CSAM,CSAM,1,Communication Skills,Core,Communication Skills
CSAM,CSAM,2,Data Structures and Algorithms,Core,DSA
CSAM,CSAM,2,Basic Electronics,Core,BE
CSAM,CSAM,2,Maths II (Probability & Statistics),Core,
CSAM,CSAM,2,Computer Organization,Core,CO
CSAM,CSAM,2,SSH,Elective,
CSAM,CSAM,3,Real Analysis I,Core,
CSAM,CSAM,3,Operating Systems,Core,OS
CSAM,CSAM,3,Discrete Structures,Core,DM
CSAM,CSAM,3,Number Theory / Advanced Programming / Physics / Signals and Systems,Elective,
CSAM,CSAM,3,SSH,Elective,
